cytoband	9p21.3	1p36.31	10q23.31	13q14.2	19q13.41	2q37.1	4q35.2	11p15.4	12p13.2	17q11.2	3q28	14q24.3	10q26.13	15q15.1	6q24.3	15q21.2	22q13.32	1q43	3p26.3	3p14.1	
					SLC6A16										C6orf78					RRP9	
					TFPT										C6orf113					LRRFIP2	
					STRN4										C6orf170					MAGI1	
					CCDC106										FLJ25791					CACNA2D2	
					EPN1										HS3ST5					COPB2	
					GLTSCR2										GPRC6A					SLC22A14	
					GLTSCR1										RFXDC1					SLC22A13	
					EHD2										SLC35F1					CHST2	
					KLK14										VGLL2					SH3BP5	
					KLK12										LACE1					SLC4A7	
					SHANK1										C6orf191					RNF7	
					NOSIP										WDR27					GUCA1C	
					ZNF580										C6orf188					IQCB1	
					HSD17B14										MCMDC1					DZIP3	
					GP6										SHPRH					VGLL4	
					VRK3										LOC285735					EDEM1	
					ZNF581										C6orf182					VPRBP	
					PTOV1										PPIL6					TBC1D5	
					PPP1R12C										FLJ34503					TATDN2	
					TRPM4										DCBLD1					IHPK1	
					ZNF586										MGC35308					EPM2AIP1	
					QPCTL										TAAR6					PSMD6	
					FAM83E										SLC35D3					TOMM70A	
					EPS8L1										RSHL3					SRGAP3	
					RASIP1										LFDH					IQSEC1	
					TMEM160										NUP43					DLEC1	
					NOP17										C6orf58					ENDOGL1	
					FLJ10490										RAET1G					XYLB	
					FLJ10781										SUMO4					OXSR1	
					TMEM143										C6orf173					NR1D2	
					ZNF444										C6orf174					PDCD6IP	
					ZNF331										C6orf204					PARP3	
					KLK15										C6orf120					COX17	
					NLRP2										C6orf190					ARPC4	
					ZNF416										LOC389432					ZNF197	
					ZNF446										IYD					RBM6	
					ZNF701										FLJ42177					RBM5	
					ZNF83										FLJ44955					NME6	
					ZNF415										TCP10L2					CTDSPL	
					FLJ12886										LOC401286					CD96	
					IRGC										C6orf122					STAG1	
					CABP5										GTF2H5					EIF1B	
					SPHK2										LOC441168					TRAIP	
					MEIS3										LOC441177					TFG	
					CEACAM19										LOC442247					ST3GAL6	
					SLC17A7										LOC619208					ARIH2	
					NAT14															TADA3L	
					CD177															CRTAP	
					VN1R1															ATG7	
					RCN3															ARL6IP5	
					ZNF304															TUSC4	
					TTYH1															CXCR6	
					ZNF471															CSPG5	
					USP29															POLQ	
					PLEKHA4															ARPP-21	
					MARK4															CCR9	
					ZNF71															ALDH1L1	
					SR-A1															USP19	
					CACNG8															PDIA5	
					CACNG7															SLC38A3	
					CACNG6															CYB561D2	
					ZNF350															TMEM115	
					TSKS															TOPBP1	
					ZNF667															RPP14	
					ELSPBP1															HHLA2	
					LIN7B															FSTL1	
					HIF3A															FAM107A	
					ZNF574															WDR6	
					ZNF649															RASSF1	
					ZNF447															NISCH	
					MGC2752															MRPL3	
					TSEN34															FILIP1L	
					TRAPPC6A															TREX1	
					LENG4															SCN11A	
					FKRP															TUSC2	
					ZSCAN5															RNF13	
					LENG1															MGLL	
					LILRA6															TWF2	
					ZNF576															MRAS	
					ZNF329															COPG	
					TBC1D17															TRAK1	
					ZNF419															DHX30	
					GEMIN7															SACM1L	
					ISOC2															SCAP	
					MYH14															EXOSC7	
					ZNF665															TMCC1	
					ZNF552															PDZRN3	
					ZNF671															CAND2	
					ZNF613															CLASP2	
					ZNF702															PLXND1	
					ZNF606															RAD54L2	
					ZNF614															STAB1	
					FUZ															GPD1L	
					OPA3															RFTN1	
					RSHL1															NUP210	
					ZNF611															PLCL2	
					MED25															ANKRD28	
					BCL2L12															C3orf63	
					TEX101															KLHL18	
					GRWD1															DNAJC13	
					CCDC8															LARS2	
					SYT3															RYBP	
					AKT1S1															C3orf27	
					ZNF528															CAPN7	
					BRSK1															MKRN2	
					CNFN															NAT6	
					ZNF347															FBXL2	
					ZNF577															ANAPC13	
					SUV420H2															ARMC8	
					C19orf48															ABHD14A	
					ZBTB45															C3orf17	
					ZNF587															WDR51A	
					FIZ1															ABI3BP	
					GALP															CNOT10	
					SIGLEC10															TMEM158	
					SIGLEC12															C3orf60	
					ZNF628															THUMPD3	
					KIR3DX1															MYRIP	
					C19orf49															PTPN23	
					ZNF551															WWTR1	
					ZNF616															PVRL3	
					ZNF766															CHMP2B	
					XTP7															DNAH1	
					ZNF468															HIGD1A	
					ZNF160															LRIG1	
					ATPBD3															ERC2	
					BC37295_3															APPL	
					ZNF765															HACL1	
					NLRP12															ZBTB20	
					MYADM															TTLL3	
					CCDC114															OR5K1	
					ACPT															OR5H1	
					CGB5															GNL3	
					CGB7															C3orf28	
					LENG9															PCOLCE2	
					CGB8															SEC22A	
					GNG8															NPHP3	
					BIRC8															ATP2C1	
					LOC112703															FOXP1	
					RDH13															ZBTB11	
					TIP39															MORC1	
					LOC113386															LSM3	
					ZIM3															RBMS3	
					SIGLEC11															NKIRAS1	
					CGB1															SPCS1	
					CGB2															ACAD9	
					LENG8															ASTE1	
					KIR3DL3															KLF15	
					ZNF526															SETD2	
					CLDND2															GTPBP8	
					LOC125893															TAGLN3	
					ZNF543															TSP50	
					COX6B2															RBM15B	
					OSCAR															GMPPB	
					FLJ16542															SEC61A1	
					JOSD2															LOH3CR2A	
					C19orf41															LMCD1	
					CPT1C															PIK3R4	
					ALDH16A1															PODXL2	
					LOC126147															ARHGEF3	
					NLRP13															TRAT1	
					NLRP8															VILL	
					NLRP5															IMPG2	
					ZNF787															C3orf32	
					IRGQ															TRNT1	
					ZNF428															ABHD5	
					ZFP28															COMMD2	
					LOC147650															DYNC1LI1	
					ZNF480															A4GNT	
					C19orf18															C3orf18	
					ZNF418															DBR1	
					ZNF417															CRBN	
					ZNF548															SS18L2	
					KLC3															CLDN18	
					MDAC1															C3orf19	
					TMC4															SCOTIN	
					ZNF524															C3orf1	
					ZNF784															ZDHHC3	
					FLJ32658															ZMYND10	
					DACT3															PLA1A	
					SIX5															TEX264	
					IGFL2															CCDC72	
					NLRP4															ZNF589	
					ZNF582															HEMK1	
					ZNF583															AMOTL2	
					CDC42EP5															IHPK2	
					ZNF610															SFMBT1	
					ZNF600															NCKIPSD	
					ZNF320															PHF7	
					ZNF497															CCRL1	
					ZNF550															RAB6B	
					ZNF342															FBXO40	
					DEDD2															GHRL	
					ZNF579															IL20RB	
					ZNF114															TLR9	
					SPACA4															SEMA5B	
					NLRP7															XRN1	
					IGSF4C															WDR5B	
					ZNF584															LZTFL1	
					ZSCAN4															PARP14	
					NLRP11															PH-4	
					TMEM86B															SLC6A20	
					ZNF549															IL17RD	
					IL4I1															GRAMD1C	
					LOC284296															ROPN1	
					FLJ35258															SIDT1	
					ZNF547															TMEM103	
					ZIK1															SNRK	
					ZNF776															QRICH1	
					ZSCAN1															PXK	
					MGC70924															CMTM6	
					TMEM145															RG9MTD1	
					UNQ473															SLC41A3	
					PHLDB3															SLC25A38	
					ZNF575															OXSM	
					LYPD5															SLC35A5	
					NKPD1															TMEM45A	
					TPRX1															FEZF2	
					FLJ36070															IFT57	
					IZUMO1															FLJ10213	
					LOC284361															TMEM16K	
					KLK9															DALRD3	
					FLJ40235															SHQ1	
					ZNF615															MSL2L1	
					VSTM1															FAIM	
					VN1R2															SLC25A36	
					VN1R4															PB1	
					NLRP9															ARL8B	
					LOC339344															DPPA4	
					NANOS2															TMEM39A	
					ZNF404															ZNF654	
					ZNF284															TMEM40	
					ZNF677															ABHD10	
					ZSCAN22															CHDH	
					ZNF530															IL17RB	
					C19orf51															CDV3	
					ZNF233															IFT122	
					LILRA5															NGLY1	
					IGFL1															TBC1D23	
					LOC374920															WDR52	
					ZNF773															CACNA2D3	
					CEACAM16															DCP1A	
					BLOC1S3															GLT8D1	
					IGFL3															TMEM111	
					ZNF808															EAF2	
					ZNF761															C3orf10	
					ZNF470															ZNF167	
					ZNF749															LMOD3	
					ZNF324B															CLDND1	
					FLJ46385															MUC13	
					ZNF805															RAD18	
					MGC35402															SEMA3G	
					LOC400707															C3orf37	
					FLJ26850															MRPS22	
					ZNF772															NIT2	
					PSG8															C3orf9	
					IGFL4															BBX	
					DPRX															KIF15	
					DUXA															ADAMTS9	
					KIR3DP1															PLSCR2	
					LOC554235															PCBP4	
																				PLSCR4	
																				PCNP	
																				SENP7	
																				ABHD6	
																				LRTM1	
																				C3orf14	
																				KIAA1143	
																				KIAA1160	
																				GUP1	
																				CDGAP	
																				KIAA1407	
																				WDR48	
																				LRRN1	
																				KIAA1524	
																				SRPRB	
																				SELK	
																				PROK2	
																				EEFSEC	
																				RNF123	
																				NSUN3	
																				CIDEC	
																				CLSTN2	
																				POPDC2	
																				ZFYVE20	
																				KIF9	
																				NFKBIZ	
																				AZI2	
																				MTMR14	
																				ATG3	
																				MRPS25	
																				AXUD1	
																				GORASP1	
																				CCDC14	
																				CDCP1	
																				CCDC71	
																				NT5DC2	
																				SLC26A6	
																				TMEM108	
																				CRELD1	
																				CAMKV	
																				TMEM43	
																				OR5H6	
																				OR5H2	
																				ZXDC	
																				ZBED2	
																				LRRC2	
																				FYCO1	
																				LRRIQ2	
																				HSPBAP1	
																				C3orf52	
																				QTRTD1	
																				CCDC51	
																				ZNF659	
																				CCDC48	
																				NEK11	
																				UBE1DC1	
																				HDAC11	
																				C3orf36	
																				THOC7	
																				NAT13	
																				CEP63	
																				CEP70	
																				ABTB1	
																				TMEM113	
																				TMEM22	
																				TSEN2	
																				OR5AC2	
																				RTP3	
																				PARP9	
																				FAM62C	
																				C3orf20	
																				ARL6	
																				ZIC4	
																				ACAD11	
																				NICN1	
																				CHCHD6	
																				MON1A	
																				C3orf26	
																				HPS3	
																				JAGN1	
																				KBTBD8	
																				SLC12A8	
																				C3orf42	
																				RETNLB	
																				CCDC54	
																				IL17RC	
																				ABHD14B	
																				MINA	
																				GPR128	
																				C3orf39	
																				DIRC2	
																				EAF1	
																				C3orf15	
																				PHLDB2	
																				UCN2	
																				C3orf25	
																				ZNF502	
																				BOC	
																				FAM55C	
																				RFT1	
																				OXNAD1	
																				SPSB4	
																				ACPL2	
																				ZBTB47	
																				ACTR8	
																				CMTM7	
																				OSBPL10	
																				OSBPL11	
																				SLC25A26	
																				ZNF501	
																				C3orf24	
																				LRRC3B	
																				TM4SF18	
																				GALNTL2	
																				GPR62	
																				CPNE4	
																				CCDC58	
																				KCNH8	
																				FAM3D	
																				ZPLD1	
																				LYZL4	
																				KBTBD5	
																				TRIM71	
																				CD200R1	
																				CHCHD4	
																				DKFZp667G2110	
																				DCBLD2	
																				GPR175	
																				TMEM42	
																				UROC1	
																				NUDT16	
																				GRK7	
																				METTL6	
																				C3orf31	
																				IL17RE	
																				IQCF1	
																				GLYCTK	
																				PPM1M	
																				SYNPR	
																				C3orf45	
																				H1FOO	
																				ASB14	
																				DTX3L	
																				FAM19A4	
																				SGOL1	
																				C3orf48	
																				EFHB	
																				LOC151760	
																				CPNE9	
																				DPPA2	
																				CCDC80	
																				BTLA	
																				CCDC12	
																				PPP4R2	
																				ROPN1B	
																				C3orf22	
																				ZCWPW2	
																				MGC61571	
																				NEK10	
																				CCDC52	
																				CMTM8	
																				CCDC13	
																				FGD5	
																				IGSF11	
																				C3orf30	
																				PARP15	
																				DNAJB8	
																				GPR156	
																				CMYA1	
																				CHST13	
																				PRICKLE2	
																				KLHDC6	
																				DZIP1L	
																				TTC21A	
																				LOC200810	
																				FLJ42117	
																				KCTD6	
																				ARL13B	
																				DHFRL1	
																				KLHDC8B	
																				PTPLB	
																				STT3B	
																				2'-PDE	
																				FAM116A	
																				VSIG9	
																				C3orf58	
																				KIAA2018	
																				IGSF4D	
																				ZNF620	
																				ZDHHC23	
																				FLJ35880	
																				GK5	
																				PLCXD2	
																				GCET2	
																				ALS2CL	
																				TMIE	
																				SLC9A9	
																				C3orf64	
																				FBXW12	
																				C3orf38	
																				ZNF619	
																				ZNF621	
																				RABL3	
																				C3orf56	
																				CCDC66	
																				SLC9A10	
																				C3orf23	
																				ZNF660	
																				SUMF1	
																				RPUSD3	
																				PRRT3	
																				DPH3	
																				ILDR1	
																				TRIM42	
																				EIF4E3	
																				RAB43	
																				CCDC36	
																				KY	
																				C3orf35	
																				GADL1	
																				TESSP2	
																				C3orf47	
																				TMPRSS7	
																				CD200R2	
																				PAQR9	
																				TXNDC6	
																				CCDC37	
																				NMNAT3	
																				ZNF445	
																				SPATA12	
																				LHFPL4	
																				C3orf62	
																				TMEM110	
																				FLJ44290	
																				TESSP5	
																				AMIGO3	
																				ZNF662	
																				LOC389118	
																				C3orf54	
																				IQCF2	
																				MUSTN1	
																				VGLL3	
																				LOC389151	
																				FLJ46210	
																				LOC401052	
																				LOC401072	
																				FLJ44076	
																				OR5K2	
																				OR5H14	
																				OR5H15	
																				OR5K3	
																				OR5K4	
																				FAM19A1	
																				STX19	
																				TMEM89	
																				ARVP6125	
																				ARGFX	
																				FLJ45032	
																				TR2IT1	
